"","country","crop","crop_id","type","Scarecity","activity","pb","r.squared","zero_counter"
"202","AT","I1130","Soya","heat waves","0.6","AT_p003","0.288903704853477","0.259428657404248","0.0294117647058824"
"203","AT","I1130","Soya","heat waves","0.6","AT_p004","0.17863312706804","0.301585271571656","0.0294117647058824"
"204","AT","I1130","Soya","heat waves","0.6","AT_p005","0.677525457639423","0.157175806786233","0.0294117647058824"
"205","AT","I1130","Soya","heat waves","0.6","AT_p006","0.0625369577159946","0.37722324690736","0.0294117647058824"
"206","AT","I1130","Soya","heat waves","0.6","AT_p009","0.789656593161145","0.128711458850223","0.0294117647058824"
"207","AT","I1130","Soya","heat waves","0.6","AT_p010","0.20290866759551","0.291019513930663","0.0588235294117647"
"208","AT","I1130","Soya","heat waves","0.6","AT_p016","0.058400860115761","0.381607520781175","0.0294117647058824"
"209","AT","I1130","Soya","heat waves","0.6","AT_p018","0.354429374775828","0.239199214815981","0.117647058823529"
"210","AT","I1130","Soya","heat waves","0.6","AT_p019","0.593634533946921","0.177436152524055","0.147058823529412"
"211","AT","I1130","Soya","heat waves","0.6","AT_p021","0.990627952269226","0.0417708028438574","0.0882352941176471"
"212","AT","I1130","Soya","heat waves","0.6","AT_p023","0.995739411197996","0.0325258165442938","0.0882352941176471"
"213","AT","I1130","Soya","heat waves","0.6","AT_p024","0.590453432031198","0.178203107830399","0.0588235294117647"
"214","AT","I1130","Soya","heat waves","0.6","AT_p030","0.215184308441763","0.286014772428929","0.147058823529412"
"215","AT","I1130","Soya","heat waves","0.6","AT_p031","0.520519177506254","0.195226103854564","0.147058823529412"
"216","AT","I1130","Soya","heat waves","0.6","AT_p032","0.0855234670954073","0.356425710119246","0.0588235294117647"
"217","AT","I1130","Soya","heat waves","0.6","AT_p033","0.407165880163415","0.224389624248809","0.0588235294117647"
"218","AT","I1130","Soya","heat waves","0.6","AT_p040","0.149336882936964","0.315828876486571","0.0294117647058824"
"219","AT","I1130","Soya","heat waves","0.6","AT_p043","0.982123218878857","0.0515849171945888","0.0294117647058824"
"220","AT","I1130","Soya","heat waves","0.6","AT_p044","0.0689264855856995","0.370893555810057","0.0294117647058824"
"221","AT","I1130","Soya","heat waves","0.6","AT_p048","0.252838959342272","0.271791662998375","0.0294117647058824"
"222","AT","I1130","Soya","heat waves","0.6","AT_p055","0.996924038690214","0.0293853860107385","0.176470588235294"
"223","AT","I1130","Soya","heat waves","0.6","AT_p059","0.272161118252129","0.265036892694641","0.176470588235294"
"224","AT","I1130","Soya","heat waves","0.6","AT_p061","0.818493780315636","0.120745696426192","0.0294117647058824"
"225","AT","I1130","Soya","heat waves","0.6","AT_p062","0.99276296249856","0.0384506481316569","0.0294117647058824"
"226","AT","I1130","Soya","heat waves","0.6","AT_p065","0.283891682654275","0.261085508570389","0.0294117647058824"
"227","AT","I1130","Soya","heat waves","0.6","AT_p066","0.832309053177185","0.116770626695009","0.0294117647058824"
"228","AT","I1130","Soya","heat waves","0.6","AT_p069","0.957282163127667","0.0694453790243322","0.0294117647058824"
"229","AT","I1130","Soya","heat waves","0.6","AT_p070","0.923923842292814","0.0855643641862905","0.0294117647058824"
"230","AT","I1130","Soya","heat waves","0.6","AT_p079","0.437916127470365","0.216186601370606","0.0294117647058824"
"231","AT","I1130","Soya","heat waves","0.6","AT_p080","0.986759134123199","0.0467269686065025","0.0588235294117647"
"232","AT","I1130","Soya","heat waves","0.6","AT_p081","0.803460327632861","0.124948436906023","0.0588235294117647"
"233","AT","I1130","Soya","heat waves","0.6","AT_p084","0.146868644574796","0.317120778777731","0.0588235294117647"
"234","AT","I1130","Soya","heat waves","0.6","AT_p085","0.921595558472667","0.0865323045906444","0.0294117647058824"
"235","AT","I1130","Soya","heat waves","0.6","AT_p087","0.927471552023572","0.0840597315724297","0.0294117647058824"
"236","AT","I1130","Soya","heat waves","0.6","AT_p088","0.894255794634837","0.0969739132787786","0.0294117647058824"
